"ENTREZID","SYMBOL","GENENAME","X1.RD.dux4_no.dox_16hr_expt11.bam","X2.RD.dux4_with.dox_16hr_expt11.bam","X3.RD.dux4_no.dox_16hr_expt14.bam","X4.RD.dux4_with.dox_16hr_expt14.bam","X5.RD.dux4_no.dox_18hr_expt16.bam","X6.RD.dux4_with.dox_18hr_expt16.bam"
26058,"GIGYF2","GRB10 interacting GYF protein 2",4807,1203,5556,1261,5287,1424
728723,"ZBED3-AS1","ZBED3 antisense RNA 1",30,33,40,50,38,50
23435,"TARDBP","TAR DNA binding protein",7476,4344,7935,4457,7236,4432
59339,"PLEKHA2","pleckstrin homology domain containing A2",576,82,500,60,392,67
84524,"ZC3H8","zinc finger CCCH-type containing 8",618,98,585,105,652,162
54834,"GDAP2","ganglioside induced differentiation associated protein 2",1005,653,1177,696,1035,671
63877,"FAM204A","family with sequence similarity 204 member A",1244,716,1177,647,1343,790
83693,"HSDL1","hydroxysteroid dehydrogenase like 1",1026,189,924,193,901,235
84126,"ATRIP","ATR interacting protein",527,71,474,70,588,129
29940,"DSE","dermatan sulfate epimerase",1910,1172,2071,1554,2099,1252
55144,"LRRC8D","leucine-rich repeat containing 8 family member D",1530,256,1109,210,1426,308
10392,"NOD1","nucleotide binding oligomerization domain containing 1",597,80,621,117,695,156
317760,"ADAM20P1","ADAM metallopeptidase domain 20 pseudogene 1",29,40,30,36,24,36
4149,"MAX","MYC associated factor X",992,574,831,527,964,604
23126,"POGZ","pogo transposable element with ZNF domain",3281,1862,3861,2252,3684,2194
54948,"MRPL16","mitochondrial ribosomal protein L16",856,462,847,452,894,540
51574,"LARP7","La ribonucleoprotein domain family member 7",1127,221,1192,213,1213,329
101927768,"LOC101927768","uncharacterized LOC101927768",29,44,40,59,52,48
23310,"NCAPD3","non-SMC condensin II complex subunit D3",3517,818,3654,791,3577,1056
51347,"TAOK3","TAO kinase 3",516,99,575,77,479,103
255809,"C19orf38","chromosome 19 open reading frame 38",2,9,1,13,1,14
5745,"PTH1R","parathyroid hormone 1 receptor",217,15,232,11,168,34
2661,"GDF9","growth differentiation factor 9",6,17,12,30,4,21
401260,"LINC00951","long intergenic non-protein coding RNA 951",1,8,2,18,1,12
91181,"NUP210L","nucleoporin 210kDa like",4,18,4,21,2,10
8796,"SCEL","sciellin",1,9,0,13,0,9
29079,"MED4","mediator complex subunit 4",395,282,390,226,412,288
92344,"GORAB","golgin, RAB6-interacting",454,76,427,77,478,111
11270,"NRM","nurim (nuclear envelope membrane protein)",836,128,795,114,932,219
79000,"AUNIP","aurora kinase A and ninein interacting protein",385,60,385,65,398,93
128710,"SLX4IP","SLX4 interacting protein",295,33,253,46,251,43
55706,"NDC1","NDC1 transmembrane nucleoporin",4770,1172,5162,1085,5380,1492
55735,"DNAJC11","DnaJ heat shock protein family (Hsp40) member C11",2060,386,1894,331,2056,548
119587,"CPXM2","carboxypeptidase X (M14 family), member 2",0,9,0,13,0,7
27153,"ZNF777","zinc finger protein 777",700,81,552,96,739,159
84064,"HDHD2","haloacid dehalogenase like hydrolase domain containing 2",973,194,1042,193,907,242
813,"CALU","calumenin",11669,6919,12911,7637,12273,7079
54620,"FBXL19","F-box and leucine-rich repeat protein 19",1418,250,1224,179,1387,323
112399,"EGLN3","egl-9 family hypoxia-inducible factor 3",114,90,159,134,161,164
124245,"ZC3H18","zinc finger CCCH-type containing 18",2401,1126,2237,1287,2360,1360
200916,"RPL22L1","ribosomal protein L22 like 1",590,365,525,312,617,411
146760,"RTN4RL1","reticulon 4 receptor-like 1",580,58,348,27,474,73
9534,"ZNF254","zinc finger protein 254",1240,255,1320,222,1403,360
23221,"RHOBTB2","Rho related BTB domain containing 2",980,149,1333,232,1261,265
113263,"GLCCI1","glucocorticoid induced 1",505,78,674,91,694,146
55449,"DHRS4-AS1","DHRS4 antisense RNA 1",100,10,140,9,112,12
257396,"LOC257396","uncharacterized LOC257396",96,99,83,88,82,72
10999,"SLC27A4","solute carrier family 27 member 4",1827,380,1665,404,1759,493
10451,"VAV3","vav guanine nucleotide exchange factor 3",7,56,14,61,47,61
26039,"SS18L1","synovial sarcoma translocation gene on chromosome 18-like 1",1031,198,1176,209,1198,313
1209,"CLPTM1","cleft lip and palate associated transmembrane protein 1",2596,1412,2526,1380,2653,1484
29086,"BABAM1","BRISC and BRCA1 A complex member 1",2332,1216,1989,1136,2136,1390
56997,"ADCK3","aarF domain containing kinase 3",689,352,623,377,646,423
165904,"XIRP1","xin actin binding repeat containing 1",16,33,44,149,45,85
5210,"PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",270,46,290,45,277,50
246330,"PELI3","pellino E3 ubiquitin protein ligase family member 3",138,3,153,12,154,21
4214,"MAP3K1","mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",878,140,750,125,1067,218
80212,"CCDC92","coiled-coil domain containing 92",317,44,337,45,390,80
80196,"RNF34","ring finger protein 34",1028,185,901,163,938,246
10295,"BCKDK","branched chain ketoacid dehydrogenase kinase",1045,157,1022,245,1046,210
5531,"PPP4C","protein phosphatase 4 catalytic subunit",2262,1186,2075,1225,2196,1260
29997,"GLTSCR2","glioma tumor suppressor candidate region gene 2",2410,1174,2129,1257,2384,1350
57600,"FNIP2","folliculin interacting protein 2",796,162,959,175,882,225
163702,"IFNLR1","interferon, lambda receptor 1",9,17,13,27,15,31
9869,"SETDB1","SET domain bifurcated 1",1583,295,1705,377,1636,452
196403,"DTX3","deltex 3, E3 ubiquitin ligase",546,111,587,122,649,144
100507388,"LOC100507388","uncharacterized LOC100507388",1,5,0,16,1,15
9559,"VPS26A","VPS26 retromer complex component A",1346,755,1248,695,1498,882
10924,"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A",274,32,376,49,338,65
81622,"UNC93B1","unc-93 homolog B1 (C. elegans)",267,42,313,45,286,58
10062,"NR1H3","nuclear receptor subfamily 1 group H member 3",164,16,185,21,213,34
351,"APP","amyloid beta precursor protein",14403,7642,13393,7492,14563,7968
81848,"SPRY4","sprouty RTK signaling antagonist 4",3238,2131,4129,2977,3628,2446
3752,"KCND3","potassium voltage-gated channel subfamily D member 3",3,13,7,17,4,20
25799,"ZNF324","zinc finger protein 324",327,59,333,53,359,74
1643,"DDB2","damage specific DNA binding protein 2",242,28,237,42,287,49
219899,"TBCEL","tubulin folding cofactor E-like",757,147,720,118,738,183
7705,"ZNF146","zinc finger protein 146",3388,671,3179,569,3765,948
23644,"EDC4","enhancer of mRNA decapping 4",2899,1541,2964,1751,3205,1702
272,"AMPD3","adenosine monophosphate deaminase 3",453,69,393,41,354,66
4736,"RPL10A","ribosomal protein L10a",10580,4799,10114,5142,11459,6089
9246,"UBE2L6","ubiquitin conjugating enzyme E2L 6",1102,247,1055,207,1096,254
55512,"SMPD3","sphingomyelin phosphodiesterase 3",25,46,26,28,36,48
84364,"ARFGAP2","ADP ribosylation factor GTPase activating protein 2",1405,850,1381,964,1578,850
29960,"FTSJ2","FtsJ RNA methyltransferase homolog 2 (E. coli)",1156,255,1130,262,1308,334
3910,"LAMA4","laminin subunit alpha 4",4419,3777,7345,5033,6100,4687
55192,"DNAJC17","DnaJ heat shock protein family (Hsp40) member C17",326,57,310,48,319,63
83742,"MARVELD1","MARVEL domain containing 1",2034,336,1825,408,1930,545
730394,"GTF2H2C_2","GTF2H2 family member C, copy 2",193,163,160,135,176,133
8940,"TOP3B","topoisomerase (DNA) III beta",588,90,563,107,691,157
285971,"ZNF775","zinc finger protein 775",141,10,142,17,132,19
54468,"MIOS","missing oocyte, meiosis regulator, homolog (Drosophila)",1045,201,1301,263,1250,297
729264,"TP53TG3D","TP53 target 3D",115,84,120,92,125,101
2256,"FGF11","fibroblast growth factor 11",352,55,345,73,371,64
100507178,"SLFNL1-AS1","SLFNL1 antisense RNA 1",94,78,75,83,81,71
5694,"PSMB6","proteasome subunit beta 6",1989,1002,1722,992,1863,1141
283643,"C14orf80","chromosome 14 open reading frame 80",833,104,703,102,753,192
26212,"OR2B6","olfactory receptor family 2 subfamily B member 6",10,26,4,13,11,35
57680,"CHD8","chromodomain helicase DNA binding protein 8",2764,1593,3202,1795,3046,1766
79840,"NHEJ1","non-homologous end joining factor 1",1042,194,1111,212,1117,308
8636,"SSNA1","Sjogren syndrome nuclear autoantigen 1",1867,413,1864,376,1719,442
10393,"ANAPC10","anaphase promoting complex subunit 10",224,168,182,147,198,150
3556,"IL1RAP","interleukin 1 receptor accessory protein",459,328,460,318,367,300
6185,"RPN2","ribophorin II",12192,6591,13785,7919,13148,7627
4337,"MOCS1","molybdenum cofactor synthesis 1",524,79,585,111,596,139
8600,"TNFSF11","tumor necrosis factor superfamily member 11",0,6,0,10,0,12
5989,"RFX1","regulatory factor X1",738,101,594,133,659,155
116541,"MRPL54","mitochondrial ribosomal protein L54",657,143,677,138,715,172
3553,"IL1B","interleukin 1 beta",1,9,0,8,0,13
252969,"NEIL2","nei like DNA glycosylase 2",969,125,1036,195,828,200
9931,"HELZ","helicase with zinc finger",1132,894,1628,1217,1395,971
41,"ASIC1","acid sensing ion channel subunit 1",447,84,460,86,452,104
55281,"TMEM140","transmembrane protein 140",267,38,366,48,266,35
54539,"NDUFB11","NADH:ubiquinone oxidoreductase subunit B11",1600,845,1602,990,1642,935
728689,"EIF3CL","eukaryotic translation initiation factor 3 subunit C-like",64,58,57,69,51,54
93107,"KCNG4","potassium voltage-gated channel modifier subfamily G member 4",154,13,222,13,132,23
284029,"LINC00324","long intergenic non-protein coding RNA 324",9,22,13,30,21,30
51560,"RAB6B","RAB6B, member RAS oncogene family",622,105,792,138,640,144
10409,"BASP1","brain abundant membrane attached signal protein 1",12,58,5,22,31,80
5111,"PCNA","proliferating cell nuclear antigen",4341,2339,4850,2651,5150,2747
129138,"ANKRD54","ankyrin repeat domain 54",485,287,481,283,461,309
4668,"NAGA","N-acetylgalactosaminidase, alpha-",608,137,628,119,666,143
283777,"FAM169B","family with sequence similarity 169 member B",0,13,0,7,0,8
10640,"EXOC5","exocyst complex component 5",2907,683,2901,634,2910,837
135293,"PM20D2","peptidase M20 domain containing 2",672,121,827,144,770,192
5717,"PSMD11","proteasome 26S subunit, non-ATPase 11",3420,1862,3242,1864,3682,1946
63935,"PCIF1","PDX1 C-terminal inhibiting factor 1",1114,202,1094,261,1088,285
162427,"FAM134C","family with sequence similarity 134 member C",770,147,843,153,810,219
80314,"EPC1","enhancer of polycomb homolog 1",420,253,504,297,490,330
56171,"DNAH7","dynein axonemal heavy chain 7",5,14,8,25,7,18
1991,"ELANE","elastase, neutrophil expressed",0,8,0,15,0,6
9351,"SLC9A3R2","SLC9A3 regulator 2",318,51,309,33,349,68
112479,"ERI2","ERI1 exoribonuclease family member 2",434,86,461,93,532,107
22835,"ZFP30","ZFP30 zinc finger protein",552,73,582,56,514,127
23168,"RTF1","RTF1 homolog, Paf1/RNA polymerase II complex component",2326,1280,2432,1508,2770,1458
64427,"TTC31","tetratricopeptide repeat domain 31",836,163,881,191,817,207
55182,"RNF220","ring finger protein 220",1579,321,1509,314,1629,458
10465,"PPIH","peptidylprolyl isomerase H",957,570,907,520,964,577
101927796,"LINC01441","long intergenic non-protein coding RNA 1441",34,44,37,34,35,47
7755,"ZNF205","zinc finger protein 205",257,43,254,36,282,53
4836,"NMT1","N-myristoyltransferase 1",2569,587,2578,588,2597,773
1822,"ATN1","atrophin 1",4703,808,3471,662,4395,1041
5255,"PHKA1","phosphorylase kinase, alpha 1 (muscle)",996,210,974,236,1012,232
163033,"ZNF579","zinc finger protein 579",278,39,228,34,265,49
6901,"TAZ","tafazzin",293,46,302,59,312,50
131474,"CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4",346,57,413,52,378,87
283383,"ADGRD1","adhesion G protein-coupled receptor D1",2,21,8,24,12,21
10634,"GAS2L1","growth arrest specific 2 like 1",538,68,385,39,391,74
6188,"RPS3","ribosomal protein S3",29455,13303,28787,14598,29089,16101
140685,"ZBTB46","zinc finger and BTB domain containing 46",294,56,434,64,459,66
10263,"CDK2AP2","cyclin-dependent kinase 2 associated protein 2",810,440,701,437,687,486
7372,"UMPS","uridine monophosphate synthetase",1596,285,1555,303,1730,470
22933,"SIRT2","sirtuin 2",3763,692,4067,915,3583,992
55032,"SLC35A5","solute carrier family 35 member A5",850,181,852,186,860,225
54617,"INO80","INO80 complex subunit",1487,746,1501,773,1528,876
5723,"PSPH","phosphoserine phosphatase",952,180,965,182,856,237
81617,"CAB39L","calcium binding protein 39 like",169,139,148,104,181,145
7056,"THBD","thrombomodulin",7,12,7,21,5,22
55972,"SLC25A40","solute carrier family 25 member 40",477,103,549,86,524,114
23030,"KDM4B","lysine demethylase 4B",1124,191,1332,282,1206,274
60312,"AFAP1","actin filament associated protein 1",960,214,1153,226,1145,288
60,"ACTB","actin, beta",99765,60553,78665,50161,100217,63091
8089,"YEATS4","YEATS domain containing 4",654,112,669,102,772,182
85369,"STRIP1","striatin interacting protein 1",1136,563,1174,696,1252,726
55317,"AP5S1","adaptor related protein complex 5 sigma 1 subunit",341,58,366,50,349,80
23262,"PPIP5K2","diphosphoinositol pentakisphosphate kinase 2",1686,409,1849,437,1907,513
6844,"VAMP2","vesicle associated membrane protein 2",645,340,611,366,704,410
574028,"CLLU1","chronic lymphocytic leukemia up-regulated 1",214,13,338,37,255,36
54991,"C1orf159","chromosome 1 open reading frame 159",540,80,574,105,619,148
84447,"SYVN1","synoviolin 1",909,186,857,206,911,229
100505854,"APTR","Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)",209,140,214,137,227,159
9917,"FAM20B","family with sequence similarity 20 member B",1907,392,2373,430,2080,578
140688,"NOL4L","nucleolar protein 4-like",470,80,491,91,467,116
349334,"FOXD4L4","forkhead box D4-like 4",1,10,6,21,3,18
22848,"AAK1","AP2 associated kinase 1",1188,910,1402,1260,1165,819
10953,"TOMM34","translocase of outer mitochondrial membrane 34",2648,569,2389,555,2466,703
4018,"LPA","lipoprotein, Lp(a)",0,8,1,14,0,8
151987,"PPP4R2","protein phosphatase 4 regulatory subunit 2",1706,923,1736,965,1935,1017
221883,"HOXA11-AS","HOXA11 antisense RNA",108,13,114,8,114,11
26268,"FBXO9","F-box protein 9",1050,241,1021,213,1138,282
114879,"OSBPL5","oxysterol binding protein like 5",280,40,222,32,263,46
79832,"QSER1","glutamine and serine rich 1",3334,807,3686,738,3970,1055
100506791,"LINC01511","long intergenic non-protein coding RNA 1511",2,6,0,14,1,16
27257,"LSM1","LSM1 homolog, mRNA degradation associated",807,436,732,438,793,474
2065,"ERBB3","erb-b2 receptor tyrosine kinase 3",931,74,1823,213,1216,121
1605,"DAG1","dystroglycan 1",11370,1143,18753,2703,13540,2071
5711,"PSMD5","proteasome 26S subunit, non-ATPase 5",2644,570,2530,485,2863,753
114781,"BTBD9","BTB domain containing 9",349,56,417,77,401,80
84842,"HPDL","4-hydroxyphenylpyruvate dioxygenase-like",505,93,555,120,669,127
1994,"ELAVL1","ELAV like RNA binding protein 1",4053,917,4504,936,4402,1301
2564,"GABRE","gamma-aminobutyric acid type A receptor epsilon subunit",315,184,300,178,315,228
81796,"SLCO5A1","solute carrier organic anion transporter family member 5A1",581,54,397,61,575,114
4495,"MT1G","metallothionein 1G",0,11,3,14,1,11
79884,"MAP9","microtubule associated protein 9",394,253,316,211,401,298
8740,"TNFSF14","tumor necrosis factor superfamily member 14",0,10,0,11,0,6
55207,"ARL8B","ADP ribosylation factor like GTPase 8B",1413,833,1361,764,1636,907
5396,"PRRX1","paired related homeobox 1",895,130,691,78,1004,179
7555,"CNBP","CCHC-type zinc finger, nucleic acid binding protein",8246,4349,8148,4159,9638,5483
388507,"ZNF788","zinc finger family member 788",202,32,209,26,204,34
23357,"ANGEL1","angel homolog 1 (Drosophila)",657,110,681,130,638,172
157869,"SBSPON","somatomedin B and thrombospondin type 1 domain containing",21,47,42,68,59,60
150921,"TCF23","transcription factor 23",0,8,0,9,0,9
56681,"SAR1A","secretion associated Ras related GTPase 1A",2994,1725,2918,1681,3729,2006
84889,"SLC7A3","solute carrier family 7 member 3",1,17,7,18,6,17
83723,"FAM57B","family with sequence similarity 57 member B",660,75,710,144,637,112
642,"BLMH","bleomycin hydrolase",1937,401,2166,434,2084,604
4584,"MUC3A","mucin 3A, cell surface associated",0,5,0,14,1,12
50619,"DEF6","DEF6, guanine nucleotide exchange factor",346,36,247,27,320,61
928,"CD9","CD9 molecule",135,103,145,200,125,118
25998,"IBTK","inhibitor of Bruton tyrosine kinase",1696,407,1864,367,1725,448
55611,"OTUB1","OTU deubiquitinase, ubiquitin aldehyde binding 1",2289,1086,2043,1156,2430,1363
4076,"CAPRIN1","cell cycle associated protein 1",11081,2647,11113,2474,11625,3439
79572,"ATP13A3","ATPase 13A3",4100,2706,3663,2182,4040,2495
29099,"COMMD9","COMM domain containing 9",1098,631,1128,584,1275,747
9920,"KBTBD11","kelch repeat and BTB domain containing 11",362,22,779,65,620,81
9146,"HGS","hepatocyte growth factor-regulated tyrosine kinase substrate",1647,1023,1176,863,1604,1086
643837,"LINC01128","long intergenic non-protein coding RNA 1128",1061,648,1167,697,1103,656
3755,"KCNG1","potassium voltage-gated channel modifier subfamily G member 1",336,28,218,21,332,55
23397,"NCAPH","non-SMC condensin I complex subunit H",1960,417,2115,379,2124,593
22874,"PLEKHA6","pleckstrin homology domain containing A6",3121,394,3864,729,3190,677
4682,"NUBP1","nucleotide binding protein 1",318,45,323,51,318,74
503834,"DPRX","divergent-paired related homeobox",1,8,0,8,0,13
197322,"ACSF3","acyl-CoA synthetase family member 3",375,40,381,69,367,80
80775,"TMEM177","transmembrane protein 177",410,68,357,59,423,92
51207,"DUSP13","dual specificity phosphatase 13",512,100,480,105,533,114
873,"CBR1","carbonyl reductase 1",502,260,361,282,429,337
8347,"HIST1H2BC","histone cluster 1, H2bc",15,36,27,28,29,42
84779,"NAA11","N(alpha)-acetyltransferase 11, NatA catalytic subunit",0,7,0,13,0,7
65061,"CDK15","cyclin-dependent kinase 15",221,29,188,26,193,32
2100,"ESR2","estrogen receptor 2 (ER beta)",13,18,14,23,12,31
222236,"NAPEPLD","N-acyl phosphatidylethanolamine phospholipase D",459,61,469,83,387,91
6645,"SNTB2","syntrophin beta 2",1309,297,1390,291,1274,316
57187,"THOC2","THO complex 2",3313,1818,3529,1806,3699,1972
8872,"CDC123","cell division cycle 123",2457,1251,2226,1177,2436,1440
57718,"PPP4R4","protein phosphatase 4, regulatory subunit 4",331,242,374,285,394,234
64412,"GZF1","GDNF inducible zinc finger protein 1",836,179,976,188,867,221
84798,"C19orf48","chromosome 19 open reading frame 48",2302,409,2041,467,2338,651
101927580,"LOC101927580","uncharacterized LOC101927580",0,7,0,15,0,6
134553,"C5orf24","chromosome 5 open reading frame 24",1985,395,1988,478,1926,559
80312,"TET1","tet methylcytosine dioxygenase 1",182,11,265,33,222,28
23241,"PACS2","phosphofurin acidic cluster sorting protein 2",1019,154,1338,252,1254,266
360023,"ZBTB41","zinc finger and BTB domain containing 41",552,388,604,466,561,356
90488,"TMEM263","transmembrane protein 263",1819,440,1919,433,1907,540
285513,"GPRIN3","GPRIN family member 3",218,18,293,20,383,54
8837,"CFLAR","CASP8 and FADD like apoptosis regulator",1763,999,2105,1082,1857,1194
81573,"ANKRD13C","ankyrin repeat domain 13C",794,463,694,392,772,535
25914,"RTTN","rotatin",915,578,1041,699,948,593
9610,"RIN1","Ras and Rab interactor 1",677,72,393,44,526,95
55252,"ASXL2","additional sex combs like 2, transcriptional regulator",2059,486,2559,540,2390,615
51439,"FAM8A1","family with sequence similarity 8 member A1",599,335,682,532,690,490
5869,"RAB5B","RAB5B, member RAS oncogene family",2023,394,2058,494,1950,552
4602,"MYB","MYB proto-oncogene, transcription factor",71,61,81,81,64,66
5034,"P4HB","prolyl 4-hydroxylase subunit beta",8774,4410,9318,5549,9282,5294
1849,"DUSP7","dual specificity phosphatase 7",1240,712,1210,780,1329,721
3221,"HOXC4","homeobox C4",821,118,606,102,799,178
729950,"LOC729950","uncharacterized LOC729950",137,9,133,9,79,8
58538,"MPP4","membrane protein, palmitoylated 4",114,153,39,70,69,137
2237,"FEN1","flap structure-specific endonuclease 1",2611,622,2742,576,2831,806
1763,"DNA2","DNA replication helicase/nuclease 2",1025,216,1282,190,1261,311
79109,"MAPKAP1","mitogen-activated protein kinase associated protein 1",3033,725,3077,772,3030,877
7020,"TFAP2A","transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)",60,77,57,96,28,51
90321,"ZNF766","zinc finger protein 766",429,301,419,238,485,329
160,"AP2A1","adaptor related protein complex 2 alpha 1 subunit",1900,429,1739,416,1909,526
101928627,"LOC101928627","uncharacterized LOC101928627",0,8,0,5,0,15
431707,"LHX8","LIM homeobox 8",0,5,0,12,0,10
148641,"SLC35F3","solute carrier family 35 member F3",3,17,3,10,3,14
158586,"ZXDB","zinc finger, X-linked, duplicated B",478,266,499,285,437,325
9310,"ZNF235","zinc finger protein 235",133,117,185,126,181,137
23508,"TTC9","tetratricopeptide repeat domain 9",890,131,784,178,759,188
84231,"TRAF7","TNF receptor associated factor 7",2472,528,2158,510,2348,653
54858,"PGPEP1","pyroglutamyl-peptidase I",1297,184,1121,204,1265,337
493856,"CISD2","CDGSH iron sulfur domain 2",991,207,903,176,1001,253
9147,"NEMF","nuclear export mediator factor",1543,352,1579,396,1597,428
117143,"TADA1","transcriptional adaptor 1",392,80,482,73,468,102
5709,"PSMD3","proteasome 26S subunit, non-ATPase 3",3547,1738,3204,1845,3515,1928
51463,"GPR89B","G protein-coupled receptor 89B",1323,693,1293,678,1494,856
339512,"CCDC190","coiled-coil domain containing 190",0,15,0,11,1,5
6745,"SSR1","signal sequence receptor, alpha",2574,584,2582,560,2630,778
10116,"FEM1B","fem-1 homolog b (C. elegans)",1246,245,1560,309,1330,333
10768,"AHCYL1","adenosylhomocysteinase like 1",4786,1181,4966,1183,4823,1447
54734,"RAB39A","RAB39A, member RAS oncogene family",229,183,259,161,232,170
8161,"COIL","coilin",1070,237,1188,244,1252,332
29801,"ZDHHC8","zinc finger DHHC-type containing 8",1343,235,1039,174,1247,284
26508,"HEYL","hes related family bHLH transcription factor with YRPW motif-like",1363,178,2409,326,1700,313
9802,"DAZAP2","DAZ associated protein 2",2321,1117,2065,1168,2502,1410
51204,"TACO1","translational activator of mitochondrially encoded cytochrome c oxidase I",449,80,420,74,431,103
23334,"SZT2","seizure threshold 2 homolog (mouse)",1183,860,1448,1210,1332,848
79613,"TANGO6","transport and golgi organization 6 homolog",382,61,376,64,463,99
29093,"MRPL22","mitochondrial ribosomal protein L22",552,316,556,308,567,350
741,"ZNHIT2","zinc finger HIT-type containing 2",257,159,241,179,300,186
29953,"TRHDE","thyrotropin releasing hormone degrading enzyme",0,9,0,5,0,13
1445,"CSK","c-src tyrosine kinase",1914,299,1553,274,1800,475
84626,"KRBA1","KRAB-A domain containing 1",572,102,566,116,731,156
92667,"MGME1","mitochondrial genome maintenance exonuclease 1",1129,227,1200,236,1173,336
283683,"LOC283683","uncharacterized LOC283683",0,12,4,22,5,14
5999,"RGS4","regulator of G-protein signaling 4",7,42,3,33,30,59
6453,"ITSN1","intersectin 1",1365,772,1458,732,1435,846
5966,"REL","v-rel avian reticuloendotheliosis viral oncogene homolog",241,249,327,266,330,203
8655,"DYNLL1","dynein light chain LC8-type 1",4657,2389,4680,2505,4408,2619
23344,"ESYT1","extended synaptotagmin protein 1",4821,1139,5061,1214,4842,1489
2044,"EPHA5","EPH receptor A5",28,43,40,94,19,36
84328,"LZIC","leucine zipper and CTNNBIP1 domain containing",1349,282,1330,294,1281,370
346007,"EYS","eyes shut homolog (Drosophila)",68,83,94,101,93,69
5371,"PML","promyelocytic leukemia",791,483,554,453,696,474
2395,"FXN","frataxin",441,80,405,71,460,105
8772,"FADD","Fas associated via death domain",576,69,431,71,536,123
1649,"DDIT3","DNA damage inducible transcript 3",257,209,236,148,234,194
63915,"BLOC1S5","biogenesis of lysosomal organelles complex 1 subunit 5",233,33,242,26,219,46
2171,"FABP5","fatty acid binding protein 5",2,6,1,16,0,13
26135,"SERBP1","SERPINE1 mRNA binding protein 1",25042,12505,24509,13732,24291,13625
55577,"NAGK","N-acetylglucosamine kinase",891,166,786,166,833,223
163131,"ZNF780B","zinc finger protein 780B",615,113,866,118,665,162
284098,"PIGW","phosphatidylinositol glycan anchor biosynthesis class W",697,378,776,453,768,465
84699,"CREB3L3","cAMP responsive element binding protein 3-like 3",0,8,0,6,0,12
140738,"TMEM37","transmembrane protein 37",57,1,42,1,70,2
79664,"ICE2","interactor of little elongation complex ELL subunit 2",734,409,688,477,638,432
8514,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2",121,12,143,16,143,20
84792,"FAM220A","family with sequence similarity 220 member A",475,84,479,92,445,107
23167,"EFR3A","EFR3 homolog A",1367,284,1537,334,1369,300
84310,"C7orf50","chromosome 7 open reading frame 50",1330,233,1351,238,1363,387
6840,"SVIL","supervillin",2989,554,3410,702,2804,797
148254,"ZNF555","zinc finger protein 555",325,32,499,73,398,49
27164,"SALL3","spalt-like transcription factor 3",0,8,0,9,0,8
283489,"CHAMP1","chromosome alignment maintaining phosphoprotein 1",816,184,849,193,942,232
293,"SLC25A6","solute carrier family 25 member 6",5542,2473,5178,2641,5774,3171
1462,"VCAN","versican",9889,2372,12265,2718,11444,3109
284439,"SLC25A42","solute carrier family 25 member 42",133,11,167,20,133,17
50807,"ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",3709,1991,3617,1996,3937,2075
79651,"RHBDF2","rhomboid 5 homolog 2 (Drosophila)",313,54,337,40,327,72
23109,"DDN","dendrin",434,67,396,43,481,97
9564,"BCAR1","breast cancer anti-estrogen resistance 1",1877,237,1313,153,1774,367
29090,"TIMM21","translocase of inner mitochondrial membrane 21",1026,200,1012,211,906,242
91433,"RCCD1","RCC1 domain containing 1",541,69,483,92,492,125
11183,"MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5",1779,1130,1663,950,1811,1077
3105,"HLA-A","major histocompatibility complex, class I, A",1956,1263,1502,1089,2323,1562
1487,"CTBP1","C-terminal binding protein 1",1959,418,2031,507,2027,577
164633,"CABP7","calcium binding protein 7",95,77,112,120,95,85
647309,"GMNC","geminin coiled-coil domain containing",1,7,0,12,0,9
255252,"LRRC57","leucine rich repeat containing 57",803,452,869,513,882,502
7411,"VBP1","von Hippel-Lindau binding protein 1",1969,1087,1977,1044,1960,1136
22891,"ZNF365","zinc finger protein 365",41,86,8,65,5,45
79921,"TCEAL4","transcription elongation factor A like 4",1082,233,1156,257,1094,301
387763,"C11orf96","chromosome 11 open reading frame 96",21,29,37,39,30,51
55748,"CNDP2","CNDP dipeptidase 2 (metallopeptidase M20 family)",2612,588,2864,662,2655,781
651746,"ANKRD33B","ankyrin repeat domain 33B",272,152,315,222,302,261
55778,"ZNF839","zinc finger protein 839",109,8,112,12,116,15
8556,"CDC14A","cell division cycle 14A",348,50,385,66,418,92
54982,"CLN6","ceroid-lipofuscinosis, neuronal 6, late infantile, variant",1348,268,1286,209,1431,361
92610,"TIFA","TRAF interacting protein with forkhead associated domain",130,16,146,17,158,22
387921,"NHLRC3","NHL repeat containing 3",304,54,377,69,405,70
29998,"GLTSCR1","glioma tumor suppressor candidate region gene 1",336,55,282,38,374,67
102723778,"LOC102723778","uncharacterized LOC102723778",0,8,0,10,0,7
84627,"ZNF469","zinc finger protein 469",585,76,420,74,401,68
6122,"RPL3","ribosomal protein L3",45842,22732,39896,22952,44208,24548
25981,"DNAH1","dynein axonemal heavy chain 1",250,51,311,47,339,51
112616,"CMTM7","CKLF like MARVEL transmembrane domain containing 7",641,112,692,131,757,189
